FACIL,Country,REGION,Zone,FACTYPE,MGA,FTYPE,Factype2,ownership,water_source,soapwater,st_precautions,preparedness,prep2,TBservice,HIVcare,meetings,quality,inpatient,numberbeds,total_full,outpatients
10424,BAN,2,,5,1,2,2,1,1,0,0,.272727272727273,0,0,,,0,0,,3,
10426,BAN,2,,4,1,2,2,1,0,1,0,.454545454545455,1,0,,,1,0,,1,
10427,BAN,2,,4,1,2,2,1,1,1,0,.727272727272727,1,0,,,1,0,,2,
10428,BAN,2,,8,1,2,2,1,0,1,0,,0,0,,,1,0,,3,
10435,BAN,2,,4,1,2,2,1,1,1,0,.454545454545455,0,0,,,0,0,,1,
10436,BAN,2,,4,1,2,2,1,1,1,0,.545454545454545,0,0,,,1,0,,3,
10437,BAN,2,,4,1,2,2,1,0,0,0,,0,0,,,1,0,,1,
10438,BAN,2,,5,1,2,2,1,1,0,0,.454545454545455,0,0,,,1,0,,3,
10439,BAN,2,,5,1,2,2,1,1,1,0,.818181818181818,1,0,,,0,0,,2,
10441,BAN,2,,6,1,2,2,1,0,1,0,,0,0,,,0,0,,2,
10442,BAN,2,,6,1,2,2,1,1,1,0,,0,0,,,0,0,,1,
10443,BAN,2,,6,1,2,2,1,0,1,0,.363636363636364,0,0,,,0,0,,2,
10444,BAN,2,,6,1,2,2,1,1,1,0,,0,0,,,0,0,,3,
10445,BAN,2,,6,1,2,2,1,1,1,0,,0,0,,,0,0,,1,
10446,BAN,2,,8,1,2,2,1,1,1,0,.545454545454545,1,0,,,0,0,,3,
10447,BAN,2,,9,3,1,2,2,,,,,,,,,,,,,
10452,BAN,2,,4,1,2,2,1,1,0,0,.272727272727273,0,0,,,1,0,,1,
10453,BAN,2,,4,1,2,2,1,1,1,0,.454545454545455,0,0,,,1,0,,0,
10455,BAN,2,,5,1,2,2,1,0,1,0,.363636363636364,0,0,,,1,0,,3,
10456,BAN,2,,5,1,2,2,1,0,1,0,.636363636363636,1,1,,,1,0,,1,
10457,BAN,2,,6,1,2,2,1,,1,0,,0,0,,,0,0,,1,
10462,BAN,2,,4,1,2,2,1,1,1,0,.454545454545455,0,0,,,0,0,,2,
10466,BAN,2,,6,1,2,2,1,0,0,0,,0,0,,,0,0,,1,
10467,BAN,2,,8,1,2,2,1,0,1,0,.363636363636364,0,1,,,0,0,,3,
10469,BAN,2,,4,1,2,2,1,,,,,,,,,,,,,
10470,BAN,2,,4,1,2,2,1,,,,,,,,,,,,,
10471,BAN,2,,4,1,2,2,1,1,1,0,.454545454545455,0,0,,,0,0,,2,
10472,BAN,2,,4,1,2,2,1,1,1,0,.727272727272727,1,1,,,0,0,,2,
10473,BAN,2,,5,1,2,2,1,1,1,0,.454545454545455,0,1,,,0,0,,2,
